Filename,AmazonAPI,AzureAPI,GoogleAPI
sample-000279.wav,True,True,False
sample-000280.wav,True,True,False
sample-000281.wav,True,True,True
sample-000282.wav,False,False,False
sample-000283.wav,True,False,False
sample-000284.wav,True,True,False
sample-000285.wav,False,True,False
sample-000286.wav,False,False,False
sample-000287.wav,True,True,True
sample-000288.wav,False,False,-1
sample-000289.wav,True,True,True
sample-000290.wav,True,True,True
sample-000291.wav,True,True,False
sample-000292.wav,True,False,False
sample-000293.wav,True,True,True
sample-000294.wav,True,True,False
sample-000295.wav,True,True,False
sample-000296.wav,True,True,False
sample-000297.wav,True,True,True
sample-000298.wav,True,True,True
sample-000299.wav,True,True,False
sample-000300.wav,True,True,False
sample-000301.wav,False,True,False
sample-000302.wav,True,True,-1
sample-000303.wav,True,True,False
sample-000304.wav,True,True,False
sample-000305.wav,False,False,False
sample-000306.wav,True,False,True
sample-000307.wav,True,True,False
sample-000308.wav,True,True,False
sample-000309.wav,True,True,False
sample-000310.wav,True,True,False
sample-000311.wav,True,True,True
sample-000312.wav,True,True,False
sample-000313.wav,True,True,False
sample-000314.wav,False,False,False
sample-000315.wav,True,True,False
sample-000316.wav,True,True,True
sample-000317.wav,True,True,False
sample-000318.wav,False,False,False
sample-000319.wav,True,True,False
sample-000320.wav,False,False,True
sample-000321.wav,True,True,-1
sample-000322.wav,True,True,True
sample-000323.wav,False,False,False
sample-000324.wav,False,False,False
sample-000325.wav,False,False,False
sample-000326.wav,True,False,True
sample-000327.wav,True,True,False
sample-000328.wav,True,False,False
sample-000329.wav,False,True,False
sample-000330.wav,False,False,False
sample-000331.wav,False,False,False
sample-000332.wav,True,True,True
sample-000333.wav,False,True,False
sample-000334.wav,False,True,False
sample-000335.wav,True,True,False
sample-000336.wav,True,True,True
sample-000337.wav,True,True,True
sample-000338.wav,True,True,True
sample-000339.wav,True,True,True
sample-000340.wav,False,True,False
sample-000341.wav,False,True,False
sample-000342.wav,False,False,False
sample-000343.wav,True,True,False
sample-000344.wav,False,False,False
sample-000345.wav,False,False,False
sample-000346.wav,True,True,True
sample-000347.wav,False,True,False
sample-000348.wav,True,True,False
sample-000349.wav,True,True,True
sample-000350.wav,False,False,True
sample-000351.wav,True,True,True
sample-000352.wav,True,True,True
sample-000353.wav,False,False,False
sample-000354.wav,False,True,False
sample-000355.wav,False,True,False
sample-000356.wav,True,True,False
sample-000357.wav,True,True,False
sample-000358.wav,True,True,False
sample-000359.wav,False,False,False
sample-000360.wav,False,False,False
sample-000361.wav,True,True,False
sample-000362.wav,False,False,False
sample-000363.wav,True,True,False
sample-000364.wav,True,True,True
sample-000365.wav,False,False,False
sample-000366.wav,True,True,False
sample-000367.wav,True,True,True
sample-000368.wav,False,True,False
sample-000369.wav,False,False,False
sample-000370.wav,True,False,False
sample-000371.wav,True,True,False
sample-000372.wav,False,True,True
sample-000373.wav,False,False,False
sample-000374.wav,False,True,False
sample-000375.wav,True,True,True
sample-000376.wav,True,True,False
sample-000377.wav,True,True,False
sample-000378.wav,False,True,False
sample-000379.wav,False,False,False
sample-000380.wav,True,True,False
sample-000381.wav,True,True,False
sample-000382.wav,False,False,False
sample-000383.wav,False,False,False
sample-000384.wav,True,False,False
sample-000385.wav,False,False,False
sample-000386.wav,True,True,True
sample-000387.wav,False,True,False
sample-000388.wav,True,True,True
sample-000389.wav,True,True,False
sample-000390.wav,False,True,True
sample-000391.wav,True,True,False
sample-000392.wav,False,True,False
sample-000393.wav,True,True,False
sample-000394.wav,False,False,False
sample-000395.wav,False,True,False
sample-000396.wav,True,True,False
sample-000397.wav,True,False,False
sample-000398.wav,True,False,False
sample-000399.wav,True,True,False
sample-000400.wav,True,True,False
sample-000401.wav,False,False,False
sample-000402.wav,False,True,False
sample-000403.wav,True,True,False
sample-000404.wav,True,True,False
sample-000405.wav,True,True,True
sample-000406.wav,True,True,True
sample-000407.wav,False,False,False
sample-000408.wav,False,False,False
sample-000409.wav,True,True,True
sample-000410.wav,True,False,False
sample-000411.wav,True,True,True
sample-000412.wav,True,False,False
sample-000413.wav,False,False,False
sample-000414.wav,False,True,-1
sample-000415.wav,True,True,True
sample-000416.wav,False,False,False
sample-000417.wav,True,True,False
sample-000418.wav,True,False,False
sample-000419.wav,False,False,False
sample-000420.wav,True,False,False
sample-000421.wav,False,False,False
sample-000422.wav,True,True,False
sample-000423.wav,False,True,False
sample-000424.wav,True,True,False
sample-000425.wav,True,True,True
sample-000426.wav,False,False,-1
sample-000427.wav,False,True,False
sample-000428.wav,True,True,False
sample-000429.wav,True,True,False
sample-000430.wav,True,True,True
sample-000431.wav,False,False,False
sample-000432.wav,True,False,True
sample-000433.wav,False,True,True
sample-000434.wav,False,False,False
sample-000435.wav,True,True,False
sample-000436.wav,True,True,False
sample-000437.wav,False,False,False
sample-000438.wav,True,True,True
sample-000439.wav,True,True,False
sample-000440.wav,True,False,False
sample-000441.wav,False,False,False
sample-000442.wav,False,True,False
sample-000443.wav,True,True,False
sample-000444.wav,True,True,True
sample-000445.wav,True,False,False
sample-000446.wav,True,True,False
sample-000447.wav,True,True,False
sample-000448.wav,True,True,False
sample-000449.wav,True,True,False
sample-000450.wav,True,True,False
sample-000451.wav,True,True,False
sample-000452.wav,True,False,False
sample-000453.wav,False,True,False
sample-000454.wav,True,True,False
sample-000455.wav,True,True,False
sample-000456.wav,False,False,False
sample-000457.wav,True,True,True
sample-000458.wav,False,False,False
sample-000459.wav,True,True,False
sample-000460.wav,True,True,False
sample-000461.wav,True,True,False
sample-000462.wav,True,True,True
sample-000463.wav,True,True,False
sample-000464.wav,False,True,False
sample-000465.wav,True,False,-1
sample-000466.wav,True,True,True
sample-000467.wav,False,True,-1
sample-000468.wav,False,False,False
sample-000469.wav,True,True,False
sample-000470.wav,True,True,True
sample-000471.wav,True,True,False
sample-000472.wav,False,False,False
sample-000473.wav,True,True,False
sample-000474.wav,True,True,True
sample-000475.wav,False,False,False
sample-000476.wav,True,True,False
sample-000477.wav,True,True,False
sample-000478.wav,True,True,False
sample-000479.wav,True,True,True
sample-000480.wav,True,True,False
sample-000481.wav,True,False,False
sample-000482.wav,False,True,True
sample-000483.wav,True,True,False
sample-000484.wav,True,True,False
sample-000485.wav,False,False,False
sample-000486.wav,False,False,False
sample-000487.wav,True,False,False
sample-000488.wav,True,True,-1
sample-000489.wav,True,True,True
sample-000490.wav,True,True,False
sample-000491.wav,False,False,False
sample-000492.wav,True,True,True
sample-000493.wav,True,True,False
sample-000494.wav,False,True,False
sample-000495.wav,False,False,False
sample-000496.wav,True,True,False
sample-000497.wav,True,True,True
sample-000498.wav,True,True,True
sample-000499.wav,True,True,False
sample-000500.wav,False,False,True
sample-000501.wav,False,False,False
sample-000502.wav,True,False,True
sample-000503.wav,False,True,False
sample-000504.wav,True,True,True
sample-000505.wav,True,True,False
sample-000506.wav,True,True,False
sample-000507.wav,True,False,False
sample-000508.wav,True,True,True
sample-000509.wav,False,True,False
sample-000510.wav,False,True,False
sample-000511.wav,False,True,False
sample-000512.wav,True,True,True
sample-000513.wav,True,True,True
sample-000514.wav,True,True,True
sample-000515.wav,False,True,False
sample-000516.wav,True,True,True
sample-000517.wav,False,False,False
sample-000518.wav,True,True,False
sample-000519.wav,True,True,False
sample-000520.wav,True,True,True
sample-000521.wav,True,False,False
sample-000522.wav,True,True,False
sample-000523.wav,True,True,True
sample-000524.wav,True,True,True
sample-000525.wav,True,True,False
sample-000526.wav,False,False,False
sample-000527.wav,True,True,True
sample-000528.wav,True,True,True
sample-000529.wav,True,True,False
sample-000530.wav,True,True,True
sample-000531.wav,True,True,False
sample-000532.wav,True,True,True
sample-000533.wav,False,True,False
sample-000534.wav,False,False,False
sample-000535.wav,False,False,False
sample-000536.wav,True,True,True
sample-000537.wav,True,True,-1
sample-000538.wav,True,False,False
sample-000539.wav,True,True,False
sample-000540.wav,False,False,False
sample-000541.wav,False,True,False
sample-000542.wav,True,True,True
sample-000543.wav,True,True,True
sample-000544.wav,False,True,False
sample-000545.wav,True,True,True
sample-000546.wav,False,False,False
sample-000547.wav,True,True,True
sample-000548.wav,True,True,False
sample-000549.wav,True,True,False
sample-000550.wav,True,True,False
sample-000551.wav,True,False,False
sample-000552.wav,True,True,False
sample-000553.wav,True,True,True
sample-000554.wav,True,True,True
sample-000555.wav,True,True,False
sample-000556.wav,True,True,True
sample-000557.wav,True,True,True
sample-000558.wav,False,False,False
sample-000559.wav,False,False,False
sample-000560.wav,True,True,True
sample-000561.wav,True,True,False
sample-000562.wav,True,True,False
sample-000563.wav,False,False,False
sample-000564.wav,False,False,False
sample-000565.wav,True,True,True
sample-000566.wav,True,True,False
sample-000567.wav,True,True,True
sample-000568.wav,False,True,False
sample-000569.wav,False,False,False
sample-000570.wav,True,True,True
sample-000571.wav,True,True,True
sample-000572.wav,True,True,-1
sample-000573.wav,False,False,False
sample-000574.wav,True,True,False
sample-000575.wav,True,True,False
sample-000576.wav,False,True,False
sample-000577.wav,True,True,True
sample-000578.wav,True,True,-1
sample-000579.wav,True,True,False
sample-000580.wav,True,True,False
sample-000581.wav,True,True,False
sample-000582.wav,False,False,False
sample-000583.wav,False,False,False
sample-000584.wav,True,True,True
