Filename,WitAPI,SphixAPI
sample-000408.wav,False,False
sample-000409.wav,False,False
sample-000410.wav,False,False
sample-000411.wav,False,True
sample-000412.wav,False,False
sample-000413.wav,False,False
sample-000414.wav,False,False
sample-000415.wav,False,False
sample-000416.wav,False,False
sample-000417.wav,False,False
sample-000418.wav,False,False
sample-000419.wav,False,False
sample-000420.wav,False,False
sample-000421.wav,False,False
sample-000422.wav,True,False
sample-000423.wav,False,False
sample-000424.wav,False,True
sample-000425.wav,False,True
sample-000426.wav,False,False
sample-000427.wav,False,False
sample-000428.wav,False,False
sample-000429.wav,False,False
sample-000430.wav,True,True
sample-000431.wav,False,False
sample-000432.wav,False,False
sample-000433.wav,False,False
sample-000434.wav,False,False
sample-000435.wav,False,False
sample-000436.wav,False,False
sample-000437.wav,False,False
sample-000438.wav,True,False
sample-000439.wav,False,False
sample-000440.wav,False,False
sample-000441.wav,False,False
sample-000442.wav,False,False
sample-000443.wav,True,True
sample-000444.wav,True,False
sample-000445.wav,False,False
sample-000446.wav,False,False
sample-000447.wav,True,False
sample-000448.wav,False,False
sample-000449.wav,False,False
sample-000450.wav,False,False
sample-000451.wav,False,True
sample-000452.wav,False,False
sample-000453.wav,False,False
sample-000454.wav,False,True
sample-000455.wav,False,False
sample-000456.wav,False,False
sample-000457.wav,False,False
sample-000458.wav,False,False
sample-000459.wav,False,False
sample-000460.wav,True,False
sample-000461.wav,False,False
sample-000462.wav,False,False
sample-000463.wav,True,True
sample-000464.wav,False,False
sample-000465.wav,False,False
sample-000466.wav,False,False
sample-000467.wav,False,False
sample-000468.wav,False,False
sample-000469.wav,False,False
sample-000470.wav,True,True
sample-000471.wav,False,False
sample-000472.wav,False,False
sample-000473.wav,False,False
sample-000474.wav,False,False
sample-000475.wav,False,False
sample-000476.wav,False,False
sample-000477.wav,False,False
sample-000478.wav,True,False
sample-000479.wav,False,False
sample-000480.wav,False,False
sample-000481.wav,False,False
sample-000482.wav,True,False
sample-000483.wav,False,False
sample-000484.wav,False,False
sample-000485.wav,False,False
sample-000486.wav,False,False
sample-000487.wav,False,False
sample-000488.wav,False,False
sample-000489.wav,False,False
sample-000490.wav,False,False
sample-000491.wav,False,False
sample-000492.wav,False,False
sample-000493.wav,False,False
sample-000494.wav,False,False
sample-000495.wav,False,False
sample-000496.wav,True,False
sample-000497.wav,True,False
sample-000498.wav,False,False
sample-000499.wav,False,False
sample-000500.wav,False,False
sample-000501.wav,False,False
sample-000502.wav,False,False
sample-000503.wav,False,False
sample-000504.wav,False,False
sample-000505.wav,False,False
sample-000506.wav,False,False
sample-000507.wav,False,False
sample-000508.wav,False,False
sample-000509.wav,False,False
sample-000510.wav,False,False
sample-000511.wav,False,False
sample-000512.wav,True,True
sample-000513.wav,True,False
sample-000514.wav,False,False
sample-000515.wav,False,False
sample-000516.wav,True,True
sample-000517.wav,False,False
sample-000518.wav,False,False
sample-000519.wav,False,False
sample-000520.wav,False,False
sample-000521.wav,False,False
sample-000522.wav,False,False
sample-000523.wav,False,False
sample-000524.wav,False,False
sample-000525.wav,False,False
sample-000526.wav,False,False
sample-000527.wav,False,False
sample-000528.wav,False,False
sample-000529.wav,True,True
sample-000530.wav,True,True
sample-000531.wav,False,False
sample-000532.wav,True,False
sample-000533.wav,False,False
sample-000534.wav,False,False
sample-000535.wav,False,False
sample-000536.wav,True,False
sample-000537.wav,True,False
sample-000538.wav,False,False
sample-000539.wav,False,False
sample-000540.wav,False,False
sample-000541.wav,True,False
sample-000542.wav,True,True
sample-000543.wav,True,False
sample-000544.wav,False,False
sample-000545.wav,False,False
sample-000546.wav,False,False
sample-000547.wav,False,False
sample-000548.wav,False,False
sample-000549.wav,False,False
sample-000550.wav,False,True
sample-000551.wav,False,False
sample-000552.wav,False,False
sample-000553.wav,False,True
sample-000554.wav,True,True
sample-000555.wav,False,False
sample-000556.wav,False,False
sample-000557.wav,False,False
sample-000558.wav,False,False
sample-000559.wav,True,True
sample-000560.wav,False,False
sample-000561.wav,False,False
sample-000562.wav,False,False
sample-000563.wav,False,False
sample-000564.wav,False,False
sample-000565.wav,False,False
sample-000566.wav,False,False
sample-000567.wav,False,False
sample-000568.wav,False,False
sample-000569.wav,False,False
sample-000570.wav,False,False
sample-000571.wav,True,False
sample-000572.wav,False,False
sample-000573.wav,False,False
sample-000574.wav,False,False
sample-000575.wav,False,False
sample-000576.wav,False,False
sample-000577.wav,True,True
sample-000578.wav,False,False
sample-000579.wav,True,False
sample-000580.wav,False,False
sample-000581.wav,False,False
sample-000582.wav,False,False
sample-000583.wav,False,False
sample-000584.wav,True,True
sample-000585.wav,False,True
sample-000586.wav,False,False
sample-000587.wav,False,False
sample-000588.wav,False,False
sample-000589.wav,False,False
sample-000590.wav,False,False
sample-000591.wav,False,False
sample-000592.wav,False,False
sample-000593.wav,False,True
sample-000594.wav,True,False
sample-000595.wav,False,False
sample-000596.wav,False,False
sample-000597.wav,False,False
sample-000598.wav,False,False
sample-000599.wav,False,False
sample-000600.wav,False,False
sample-000601.wav,False,False
sample-000602.wav,False,False
sample-000603.wav,False,False
sample-000604.wav,False,False
sample-000605.wav,False,False
sample-000606.wav,False,True
sample-000607.wav,True,True
sample-000608.wav,False,False
sample-000609.wav,False,False
sample-000610.wav,False,False
sample-000611.wav,False,False
sample-000612.wav,False,False
sample-000613.wav,False,False
sample-000614.wav,False,False
sample-000615.wav,False,False
sample-000616.wav,False,False
sample-000617.wav,False,False
sample-000618.wav,False,True
sample-000619.wav,False,False
sample-000620.wav,False,False
sample-000621.wav,True,True
sample-000622.wav,False,False
sample-000623.wav,False,False
sample-000624.wav,False,False
sample-000625.wav,False,False
sample-000626.wav,False,False
sample-000627.wav,False,False
sample-000628.wav,False,True
sample-000629.wav,False,False
sample-000630.wav,False,False
sample-000631.wav,False,False
sample-000632.wav,False,False
sample-000633.wav,False,False
sample-000634.wav,True,False
sample-000635.wav,True,False
sample-000636.wav,False,False
sample-000637.wav,False,False
sample-000638.wav,False,False
sample-000639.wav,False,False
sample-000640.wav,True,False
sample-000641.wav,True,False
sample-000642.wav,False,False
sample-000643.wav,False,True
sample-000644.wav,False,False
sample-000645.wav,True,False
sample-000646.wav,False,True
sample-000647.wav,False,False
sample-000648.wav,False,False
sample-000649.wav,False,False
sample-000650.wav,False,False
sample-000651.wav,False,False
sample-000652.wav,False,False
sample-000653.wav,False,False
sample-000654.wav,False,False
sample-000655.wav,False,False
sample-000656.wav,False,False
sample-000657.wav,False,False
sample-000658.wav,False,False
sample-000659.wav,False,False
sample-000660.wav,False,False
sample-000661.wav,False,False
sample-000662.wav,True,True
sample-000663.wav,False,False
sample-000664.wav,True,False
sample-000665.wav,False,False
sample-000666.wav,False,False
sample-000667.wav,False,False
sample-000668.wav,False,False
sample-000669.wav,False,False
sample-000670.wav,False,False
sample-000671.wav,False,False
sample-000672.wav,False,False
sample-000673.wav,False,False
sample-000674.wav,False,False
sample-000675.wav,True,False
sample-000676.wav,True,False
sample-000677.wav,False,False
sample-000678.wav,False,False
sample-000679.wav,False,False
sample-000680.wav,True,False
sample-000681.wav,False,False
sample-000682.wav,False,False
sample-000683.wav,True,False
sample-000684.wav,False,False
sample-000685.wav,False,False
sample-000686.wav,True,False
sample-000687.wav,False,False
sample-000688.wav,False,False
sample-000689.wav,False,False
sample-000690.wav,False,False
sample-000691.wav,False,False
sample-000692.wav,False,False
sample-000693.wav,False,False
sample-000694.wav,False,False
sample-000695.wav,False,False
sample-000696.wav,False,False
sample-000697.wav,False,False
sample-000698.wav,True,True
sample-000699.wav,False,False
sample-000700.wav,False,False
sample-000701.wav,True,True
sample-000702.wav,False,False
sample-000703.wav,False,True
sample-000704.wav,False,False
sample-000705.wav,False,False
sample-000706.wav,False,False
sample-000707.wav,False,False
sample-000708.wav,False,False
sample-000709.wav,False,False
sample-000710.wav,False,False
sample-000711.wav,False,False
sample-000712.wav,False,False
sample-000713.wav,True,False
sample-000714.wav,False,False
sample-000715.wav,False,False
sample-000716.wav,False,False
sample-000717.wav,False,False
sample-000718.wav,False,False
sample-000719.wav,False,False
sample-000720.wav,False,False
sample-000721.wav,False,False
sample-000722.wav,True,False
sample-000723.wav,False,True
sample-000724.wav,False,False
sample-000725.wav,False,False
sample-000726.wav,False,False
sample-000727.wav,False,False
sample-000728.wav,True,False
sample-000729.wav,True,False
sample-000730.wav,False,False
sample-000731.wav,True,True
sample-000732.wav,False,False
sample-000733.wav,False,False
sample-000734.wav,True,False
sample-000735.wav,False,False
sample-000736.wav,False,False
sample-000737.wav,False,False
sample-000738.wav,False,False
